Zeitstempel,Ferientyp,Ferien_bool
2021-10-13,Herbstferien,1
2021-10-14,Herbstferien,1
2021-10-15,Herbstferien,1
2021-10-16,Herbstferien,1
2021-10-17,Herbstferien,1
2021-10-18,Herbstferien,1
2021-10-19,Herbstferien,1
2021-10-20,Herbstferien,1
2021-10-21,Herbstferien,1
2021-10-22,Herbstferien,1
2021-10-23,Herbstferien,1
2021-10-24,Herbstferien,1
2021-12-18,Wiehnachtsferien,1
2021-12-19,Wiehnachtsferien,1
2021-12-20,Wiehnachtsferien,1
2021-12-21,Wiehnachtsferien,1
2021-12-22,Wiehnachtsferien,1
2021-12-23,Wiehnachtsferien,1
2021-12-24,Wiehnachtsferien,1
2021-12-25,Wiehnachtsferien,1
2021-12-26,Wiehnachtsferien,1
2021-12-27,Wiehnachtsferien,1
2021-12-28,Wiehnachtsferien,1
2021-12-29,Wiehnachtsferien,1
2021-12-30,Wiehnachtsferien,1
2021-12-31,Wiehnachtsferien,1
2022-01-01,Wiehnachtsferien,1
2022-01-02,Wiehnachtsferien,1
2022-04-09,Frühlingsferien,1
2022-04-10,Frühlingsferien,1
2022-04-11,Frühlingsferien,1
2022-04-12,Frühlingsferien,1
2022-04-13,Frühlingsferien,1
2022-04-14,Frühlingsferien,1
2022-04-15,Frühlingsferien,1
2022-04-16,Frühlingsferien,1
2022-04-17,Frühlingsferien,1
2022-04-18,Frühlingsferien,1
2022-04-19,Frühlingsferien,1
2022-04-20,Frühlingsferien,1
2022-04-21,Frühlingsferien,1
2022-04-22,Frühlingsferien,1
2022-04-23,Frühlingsferien,1
2022-04-24,Frühlingsferien,1
2022-07-09,Sommerferien,1
2022-07-10,Sommerferien,1
2022-07-11,Sommerferien,1
2022-07-12,Sommerferien,1
2022-07-13,Sommerferien,1
2022-07-14,Sommerferien,1
2022-07-15,Sommerferien,1
2022-07-16,Sommerferien,1
2022-07-17,Sommerferien,1
2022-07-18,Sommerferien,1
2022-07-19,Sommerferien,1
2022-07-20,Sommerferien,1
2022-07-21,Sommerferien,1
2022-07-22,Sommerferien,1
2022-07-23,Sommerferien,1
2022-07-24,Sommerferien,1
2022-07-25,Sommerferien,1
2022-07-26,Sommerferien,1
2022-07-27,Sommerferien,1
2022-07-28,Sommerferien,1
2022-07-29,Sommerferien,1
2022-07-30,Sommerferien,1
2022-07-31,Sommerferien,1
2022-08-01,Sommerferien,1
2022-08-02,Sommerferien,1
2022-08-03,Sommerferien,1
2022-08-04,Sommerferien,1
2022-08-05,Sommerferien,1
2022-08-06,Sommerferien,1
2022-08-07,Sommerferien,1
2022-08-08,Sommerferien,1
2022-08-09,Sommerferien,1
2022-08-10,Sommerferien,1
2022-08-11,Sommerferien,1
2022-08-12,Sommerferien,1
2022-08-13,Sommerferien,1
2022-08-14,Sommerferien,1
