Zeitstempel,Covid restrictions,Flu season
15.01.21,3,1
16.01.21,3,1
17.01.21,3,1
18.01.21,3,1
19.01.21,3,1
20.01.21,3,1
21.01.21,3,1
22.01.21,3,1
23.01.21,3,1
24.01.21,3,1
25.01.21,3,1
26.01.21,3,1
27.01.21,3,1
28.01.21,3,1
29.01.21,3,1
30.01.21,3,1
31.01.21,3,1
01.02.21,3,1
02.02.21,3,1
03.02.21,3,1
04.02.21,3,1
05.02.21,3,1
06.02.21,3,1
07.02.21,3,1
08.02.21,3,1
09.02.21,3,1
10.02.21,3,1
11.02.21,3,1
12.02.21,3,1
13.02.21,3,1
14.02.21,3,1
15.02.21,3,1
16.02.21,3,1
17.02.21,3,1
18.02.21,3,1
19.02.21,3,1
20.02.21,3,1
21.02.21,3,1
22.02.21,3,1
23.02.21,3,1
24.02.21,3,1
25.02.21,3,1
26.02.21,3,1
27.02.21,3,1
28.02.21,3,1
01.03.21,3,1
02.03.21,3,1
03.03.21,3,1
04.03.21,3,1
05.03.21,3,1
06.03.21,3,1
07.03.21,3,1
08.03.21,3,1
09.03.21,3,1
10.03.21,3,1
11.03.21,3,1
12.03.21,3,1
13.03.21,3,1
14.03.21,3,1
15.03.21,3,1
16.03.21,3,1
17.03.21,3,1
18.03.21,3,1
19.03.21,3,1
20.03.21,3,1
21.03.21,3,1
22.03.21,3,1
23.03.21,3,1
24.03.21,3,1
25.03.21,3,1
26.03.21,3,1
27.03.21,3,1
28.03.21,3,1
29.03.21,3,1
30.03.21,3,1
31.03.21,3,1
01.04.21,2,1
02.04.21,2,1
03.04.21,2,1
04.04.21,2,1
05.04.21,2,1
06.04.21,2,1
07.04.21,2,1
08.04.21,2,1
09.04.21,2,1
10.04.21,2,1
11.04.21,2,1
12.04.21,2,1
13.04.21,2,1
14.04.21,2,1
15.04.21,2,1
16.04.21,2,1
17.04.21,2,1
18.04.21,2,1
19.04.21,2,1
20.04.21,2,1
21.04.21,2,1
22.04.21,2,1
23.04.21,2,1
24.04.21,2,1
25.04.21,2,1
26.04.21,2,1
27.04.21,2,1
28.04.21,2,1
29.04.21,2,1
30.04.21,2,1
01.05.21,2,1
02.05.21,2,1
03.05.21,2,1
04.05.21,2,1
05.05.21,2,1
06.05.21,2,1
07.05.21,2,1
08.05.21,2,1
09.05.21,2,1
10.05.21,2,1
11.05.21,2,1
12.05.21,2,1
13.05.21,2,1
14.05.21,2,1
15.05.21,2,1
16.05.21,2,1
17.05.21,2,1
18.05.21,2,1
19.05.21,2,1
20.05.21,2,1
21.05.21,2,1
22.05.21,2,1
23.05.21,2,1
24.05.21,2,1
25.05.21,2,1
26.05.21,2,1
27.05.21,2,1
28.05.21,2,1
29.05.21,2,1
30.05.21,2,1
31.05.21,2,1
01.06.21,2,0
02.06.21,2,0
03.06.21,2,0
04.06.21,2,0
05.06.21,2,0
06.06.21,2,0
07.06.21,2,0
08.06.21,2,0
09.06.21,2,0
10.06.21,2,0
11.06.21,2,0
12.06.21,2,0
13.06.21,2,0
14.06.21,2,0
15.06.21,2,0
16.06.21,2,0
17.06.21,2,0
18.06.21,2,0
19.06.21,2,0
20.06.21,2,0
21.06.21,2,0
22.06.21,2,0
23.06.21,2,0
24.06.21,2,0
25.06.21,2,0
26.06.21,2,0
27.06.21,2,0
28.06.21,2,0
29.06.21,2,0
30.06.21,2,0
01.07.21,1,0
02.07.21,1,0
03.07.21,1,0
04.07.21,1,0
05.07.21,1,0
06.07.21,1,0
07.07.21,1,0
08.07.21,1,0
09.07.21,1,0
10.07.21,1,0
11.07.21,1,0
12.07.21,1,0
13.07.21,1,0
14.07.21,1,0
15.07.21,1,0
16.07.21,1,0
17.07.21,1,0
18.07.21,1,0
